,Lym,others,delta,log2fc,A,p-val,p-adj,p-adj-log,is_significant
Mef2b,0.715843239678843,-0.040019562584886,0.755862802263729,,0.4199830529886689,2.858177256580871e-13,4.2872658848713064e-10,9.367819581861022,True
Fen1,1.1721476614679562,0.41931311231859053,0.7528345491493658,1.5227684978577931,0.8445707583804272,6.294021233113721e-05,0.0005739229087945643,3.2411464395421206,True
Egr1,0.7491201643031542,-0.003382764003442081,0.7525029283065963,,0.45719365410800916,0.015241899432234208,0.04572569829670263,1.3398396535040547,True
Kcnmb4,0.7688371533761329,0.021290090905784317,0.7475470624703486,5.115314378137,0.4803309179356316,1.0096631443417828e-07,2.825112199889264e-06,5.548964299410862,True
Atad2,1.5763905635978237,0.836346069968326,0.7400444936294978,0.9457842224878937,1.1416736451642564,0.008495449415652334,0.029362152358245394,1.5322121121399055,True
H2afz,1.5523504202714815,0.8127739893876572,0.7395764308838243,0.965291482612104,1.1260227724436076,0.003116902134853561,0.013059645816425535,1.8840686011664416,True
Smc1a,1.0148939768073157,0.2753720481097246,0.7395219286975911,1.9250981248352137,0.7182042335997024,0.0001974510192300495,0.001469858703945778,2.8327244115416224,True
Bcl2l11,0.1883343988376587,-0.5506143257600011,0.7389487245976598,,-0.28831121426321654,0.0008751523392442854,0.004963056744296514,2.3042507593394537,True
Snrpd1,1.8754394254458953,1.1449060115696321,0.7305334138762631,0.738769010540256,1.3277866357145744,0.007887141569173101,0.027674180944467025,1.5579252238028864,True
Dhfr,1.0843246688219617,0.35565518486525166,0.72866948395671,1.6504419851884646,0.7824001157789259,0.000317610161886904,0.002215884850373749,2.6544528116993025,True
Cd37,0.7067278041987091,-0.0201144652862698,0.7268422694849789,,0.4257887016362582,0.002726554087335851,0.01192370592129381,1.9235887436704613,True
Rftn1,0.5534282544504847,-0.17208342664094292,0.7255116810914276,,0.2517765434769779,0.006625657539375227,0.02403503339555705,1.6191552701030034,True
Anp32b,1.8525234662332513,1.1297084674945395,0.7228149987387118,0.740635560745427,1.3167921837325782,0.0046513432982278734,0.01795885443331225,1.7457213697376786,True
Dnmt3a,0.6119982320226263,-0.10789124400758732,0.7198894760302136,,0.324296202758294,0.00014296177038710062,0.0011256832313944931,2.948583803278543,True
Pcna,1.2592517046291531,0.5400390433382385,0.7192126612909147,1.259502946414898,0.9257301212159603,0.006705523644093882,0.024236832448532104,1.6155241394567714,True
Zcchc18,0.7249338538717183,0.006530984035104377,0.7184028698366139,6.483574504938586,0.4496748513705351,1.0312355125123714e-09,7.93258086547978e-08,7.10058549196595,True
X1700025G04Rik,0.624881133793759,-0.09005676103035795,0.714937894824117,,0.34188579246696804,0.0003112043403829596,0.0021813388344599973,2.661276868806117,True
Clic4,0.5469548554506921,-0.16545683229938926,0.7124116877500813,,0.2518693511411559,0.001314843414054041,0.006860052595064561,2.1636725546053834,True
Rabgap1l,0.9228432000413371,0.21215686332003134,0.7106863367213058,2.1663259315858956,0.6484654721855697,0.0005641321803135375,0.003492215284739231,2.4568989911714163,True
Ak2,1.2713453477012568,0.5624106380350218,0.7089347096662351,1.214537035709995,0.9387585140088396,0.0008464950463315781,0.004874251706323866,2.3120920476082163,True
Prss22,0.7023677829388654,-0.006483954796321757,0.7088517377351872,,0.4307583287995419,9.352133385671524e-06,0.00012190090107566242,3.9139930841212274,True
Shmt2,1.369835263856716,0.6621948781620481,0.7076403856946678,1.0842729149862242,1.0115064239515323,0.0029857434172101656,0.012598073490338252,1.8996958625399416,True
Gm26614,0.6702079414429221,-0.03700998032450683,0.7072179217674289,,0.3968159857926704,7.08260486716039e-06,9.485631518518378e-05,4.022933750080773,True
Dtl,1.3883366961948242,0.6814619683371562,0.706874727857668,1.0618483703841168,1.0249574252369995,0.0015574955775039786,0.007919469038155824,2.101303934765172,True
St8sia1,0.6026784847027818,-0.10275325579482626,0.7054317404976082,,0.3218849454886158,6.0182218900334464e-05,0.0005521304486269217,3.2579583019342673,True
Idh2,1.2857914643985946,0.5807208210148873,0.7050706433837073,1.1843020148740433,0.9510327970583358,0.00015404354952765518,0.00119413604285004,2.9229461930613994,True
Impdh2,1.5884035305221953,0.8845354113840728,0.7038681191381225,0.8758444361159416,1.1612230648906319,0.0018490757823539188,0.009019881865141069,2.044799150446232,True
Runx2,0.6719600201805649,-0.02707239681731089,0.6990324169978758,,0.4032064260592616,0.0024556130285693792,0.011044736260431991,1.9568446502775263,True
Clnk,1.0875384030692001,0.3894854499900993,0.6980529530791009,1.524176158309808,0.7978529642678195,0.0005531747464045798,0.0034718080318279065,2.4594442964629204,True
Ly86,0.5758120517166094,-0.11820136496536487,0.6940134166819742,,0.29725639464562537,2.1371509925145998e-06,3.622289817821356e-05,4.441016804920584,True
Tagap,0.6872964152068821,-0.00583346444902645,0.6931298796559086,,0.42302032006777135,3.47679831800732e-08,1.212836622560693e-06,5.91619769764879,True
Atp13a2,0.3104873935333406,-0.3791079546815358,0.6895953482148764,,-0.05036837596324418,0.013402120127724435,0.041751153045870515,1.3793315260595624,True
Vrk1,0.6888046127496416,0.0009191233691029003,0.6878854893805386,7.960804437139598,0.4274579999197361,0.00999125766198423,0.033193547049781495,1.4789463365688742,True
Pmepa1,0.8684261020116314,0.1849606748993098,0.6834654271123216,2.2781889708874723,0.610410349383687,6.331279589219986e-06,8.793443873916647e-05,4.05584100404795,True
Etnk1,0.8334432112446569,0.15004421372170543,0.6833989975229515,2.5196796245301236,0.5769996961229451,0.0008627622364776517,0.0049300699227294385,2.3071469211202937,True
Rpgrip1,0.9546501541061706,0.271292947755607,0.6833572063505636,1.8615077508423232,0.6897209929307057,0.004003541369861916,0.015950364023354244,1.7972294009121295,True
Spc24,1.2636192258928647,0.5810478782274063,0.6825713476654584,1.1591326741343337,0.9428586858264978,0.0033806717197021247,0.013912229299185699,1.8566032729726822,True
Mcm5,1.3800125957084903,0.7016595537120877,0.6783530419964027,1.0113903488244689,1.0291603059864067,0.0028227668089560896,0.012184604930745711,1.914188547659285,True
Eif3b,1.3743249023002415,0.6963566147432773,0.6779682875569643,1.0165075621388464,1.0252703519727244,0.004499693372102512,0.017531272878321475,1.756186550308819,True
Fxyd7,0.5808917053979707,-0.09699087546329464,0.6778825808612654,,0.3126075749201105,2.0602390625976346e-05,0.00022557361999244173,3.646711690865992,True
Srsf7,1.7502816848869345,1.0724860964808451,0.6777955884060893,0.7352994864569027,1.2698613452989207,0.011761428550096953,0.03765665490959537,1.424158261558529,True
Casp8ap2,0.9902825673619672,0.3182777625691274,0.6720048047928397,1.6834886268401899,0.7262035866119344,0.004262793590413887,0.016673247420132545,1.7779798051335645,True
