,Mono,others,delta,log2fc,A,p-val,p-adj,p-adj-log,is_significant,tf_name
Hoxa3_584,0.01915649639181114,0.06878045805158432,-0.04962396165977318,-1.778202684403235,0.06207815018123756,0.25674610617432114,0.6679942939402692,0.17522724728618871,False,Hoxa3
Smad4_860,0.0041901002507256984,0.05388588900796485,-0.04969578875723915,-3.30121858348657,0.04129625108647614,0.44849315489765795,0.818987500247897,0.08672272658486838,False,Smad4
Vax1_413,0.10301678031506947,0.15313520350216864,-0.050118423187099165,-0.5700774135046555,0.17386425697159685,0.5020521245187111,0.8733817746784327,0.058795874973840485,False,Vax1
Zfp219_816,0.09378709083604822,0.14436701249191244,-0.050579921655864224,-0.619551356180196,0.16230937342468738,0.33369894136430767,0.7421384650687389,0.12951505832594712,False,Zfp219
E2f2_259,0.2025555132634383,0.25330185707474134,-0.05074634381130305,-0.32338877133236354,0.29622677525166097,0.3896646228322438,0.7846893897163331,0.10530221972261862,False,E2f2
Mixl1_881,0.1669073651172349,0.2176688907152425,-0.05076152559800762,-0.3835527644370785,0.25373291909305057,0.3709935080859311,0.7846893897163331,0.10530221972261862,False,Mixl1
NP_602,0.2981414420309317,0.3489350909517309,-0.05079364892079924,-0.2280667607811643,0.4043999070200816,0.2622496983140028,0.6704470548201463,0.173635512677915,False,NP
Foxl1_371,0.06249387675978724,0.11411453467256287,-0.05162065791277563,-0.8600097691031139,0.12208187895452964,0.3261983221854584,0.7339462249172815,0.13433575899023895,False,Foxl1
Gm5294_345,0.06249387675978724,0.11411453467256287,-0.05162065791277563,-0.8600097691031139,0.12208187895452964,0.3261983221854584,0.7339462249172815,0.13433575899023895,False,Gm5294
Foxq1_309,0.13754726504391127,0.18920054940924355,-0.051653284365332286,-0.4597261953732348,0.2183148521038683,0.5601028543877862,0.9011779824034007,0.04518942750914534,False,Foxq1
Sp4_167,0.23260187691760265,0.2847799036447972,-0.05217802672719457,-0.29293506323316376,0.3319240290360204,0.27273985640187637,0.6831724851935377,0.16546963319909808,False,Sp4
Neurod2_69,0.006125283692199665,0.0585030877077827,-0.052377804015583035,-2.9920695031102587,0.04588212305487827,0.6710976576837451,0.9292121414082625,0.03188512419233412,False,Neurod2
Gm4881_293,0.5192102824700234,0.5721429365506873,-0.05293265408066383,-0.14098643487404405,0.6282385064172982,0.6105958768613222,0.9075157839101693,0.042145812787191324,False,Gm4881
Pknox1_414,0.10539061936920564,0.16148059025643413,-0.05608997088722849,-0.6132636577750513,0.18070242790600902,0.5572997473839777,0.9011779824034007,0.04518942750914534,False,Pknox1
Zfp740_204,0.1977995736901668,0.2583607470076245,-0.06056117331745772,-0.38572325873646496,0.29640473266529144,0.4240361757993165,0.7940550043630512,0.1001494128575788,False,Zfp740
Egr4_234,-0.27866064169117977,-0.21792921709673704,-0.06073142459444272,0.3602717331550575,-0.4117613593590424,0.3276552800832694,0.7353484911792458,0.13350679434759985,False,Egr4
Hoxa5_510,0.09733424997076252,0.15853978990696865,-0.06120553993620613,-0.7001502691564612,0.1736865149366115,0.225940999138024,0.6477757411850252,0.18857532009051017,False,Hoxa5
Tcfap2d_5,0.07823840403305445,0.13980223517133344,-0.061563831138279,-0.8309083909079158,0.14928579897190425,0.13118815547772697,0.5083494958686288,0.2938376027975695,False,Tcfap2d
Zscan4c_215,0.006794312166209393,0.0685002323678993,-0.06170592020168991,-3.091040530166689,0.05331611129413549,0.2533383397856811,0.66303980917202,0.17846039560018806,False,Zscan4c
