,pDC/Ccr7DC,others,delta,log2fc,A,p-val,p-adj,p-adj-log,is_significant
Dek,1.6294414859894109,0.8950621533974904,0.7343793325919205,0.8947555581956425,1.1777595300360024,0.008234380286522326,0.042813069080705334,1.368423638387616,True
Cdh5,0.660320608512976,-0.07394203491235249,0.7342626434253285,,0.3709334608722727,2.4179081352535623e-08,5.1812317184004904e-06,5.28556698447946,True
mt.Co1,0.19262702316399033,-0.5400517585792477,0.7326787817432381,,-0.27528402093241033,0.0030638196297421297,0.02015670809040875,1.6955803936008653,True
Dnajc9,1.2086622660004114,0.5086710545467041,0.6999912114537072,1.2881384987048916,0.8942680555228557,0.004518399794406168,0.027056286194048908,1.5677318158729292,True
Bcl3,0.6332860962821404,-0.06237080951607202,0.6956569057982124,,0.36228207326919476,0.004728888854011318,0.027981590852137975,1.5531275979691135,True
Pan3,0.835425401217816,0.1417682042539227,0.6936571969638934,2.603701996230661,0.573953042392863,0.00893549119776605,0.04490196581791985,1.3477346450727081,True
Bcl2l11,0.13756245804620948,-0.5506143257600011,0.6881767838062106,,-0.3337450240110981,0.0003791665383273327,0.003991226719235081,2.3988936016782367,True
Chd3os,0.712622445396401,0.02975728323354431,0.6828651621628566,4.563814830946912,0.45542835035901785,1.0831490015778762e-05,0.0002875616818348344,3.5412689850359786,True
Tmem108,0.6475478596457813,-0.02738312429117808,0.6749309839369594,,0.3896575199336425,0.002113821997190496,0.015207352497773352,1.8179463872414172,True
Dock10,0.3947095944736736,-0.27505329792354405,0.6697628923972176,,0.08383034994771033,0.001284871098960663,0.010648103030060743,1.9727277553197848,True
H2afz,1.4784150216891474,0.8127739893876572,0.6656410323014902,0.8966318572633055,1.1013774478907026,0.0031708193514877205,0.020724309486847847,1.6835199307920463,True
Parp1,1.1789955934530776,0.5147290984457094,0.6642664950073682,1.2363909409133653,0.8850763404855142,0.004280605246618521,0.026048307788753677,1.5842204851044839,True
Gm2a,0.01799498923670071,-0.6459420875815737,0.6639370768182744,,-0.5436638920431008,0.0021900684415252546,0.015569206930274321,1.8077335091131719,True
Card11,0.6333600196242405,-0.02509623849688444,0.658456258121125,,0.38308978079610984,2.1986189640539237e-05,0.000442674959205488,3.3539150440623957,True
Fgr,0.18033397402285092,-0.4744036311722123,0.6547376051950632,,-0.22944126077382154,0.000751100883898278,0.006911971324217283,2.160398072288427,True
Herpud1,0.6058284338919593,-0.04852553346945151,0.6543539673614108,,0.35462305109834974,0.0006625539784239399,0.006250509230414528,2.2040845991439264,True
Gm15987,0.520727257149174,-0.11352899213077998,0.6342562492799539,,0.2673549719657332,7.821391490652694e-06,0.00022765373737027952,3.6427252155250605,True
Malt1,0.05806145704402028,-0.5760527733894806,0.6341142304335009,,-0.43244609903058634,0.004054215432333713,0.02492345552664168,1.6033917448333366,True
Ppm1l,0.6988301429580169,0.06578359753794319,0.6330465454200738,3.44322736630672,0.46707792762174355,0.004370688061031431,0.026489018551705643,1.5769341325096662,True
Itgae,0.5505667388986961,-0.08105647842920136,0.6316232173278975,,0.304224962924782,0.0003324771084304313,0.003653594598136608,2.4372796435077992,True
Calm4,0.5375955183503001,-0.08828044052628331,0.6258759588765834,,0.292378372912003,1.0065882193459757e-05,0.00027452405982162975,3.5614195871342225,True
Tbc1d4,0.3273251901641283,-0.2926371612918236,0.6199623514559519,,0.02480760839739659,0.001278952955486153,0.01062841791262731,1.9735313773348078,True
Cd52,-0.7781832387483868,-1.3949886354104957,0.6168053966621089,-0.9131289838196052,,0.005685515128730905,0.032488657878462314,1.488268229191094,True
Fam84b,0.7765742984980916,0.1620760107061197,0.6144982877919718,2.312499175633878,0.5551536927107213,0.006016894261113807,0.033929854855904926,1.4694179981625568,True
Ms4a4c,0.21255492824973193,-0.39415267098554,0.606707599235272,,-0.13732861984849856,0.002750321120237441,0.01854149069822994,1.7318553523927167,True
Ccr7,0.2447053804279903,-0.36167836308060275,0.606383743508593,,-0.08694630035934615,0.008462413598994821,0.04354586757630268,1.361053052457978,True
Klhl6,0.6955785593342647,0.0907101345796327,0.604868424754632,2.9850599137737337,0.47834474670443466,0.0006129944305777029,0.005904037552842139,2.2288508888306358,True
Sh3bgrl3,-0.05123566589480804,-0.6553591586799323,0.6041234927851243,-5.6765796221097355,-0.6288257116970124,0.002691252493474737,0.01822518618605917,1.739328026293111,True
Marcksl1,0.7089072237737979,0.11016734912761604,0.5987398746461818,2.7361674827233156,0.4952216419849782,0.010301413222077452,0.049289058478839486,1.3072494776730292,True
Pdcd1,0.5787196620103789,-0.020004960146592043,0.598724622156971,,0.355419295031852,0.0007583484211754071,0.006957324964911991,2.157557711006005,True
Il4i1,0.01722086673691015,-0.5748086622580175,0.5920295289949277,,-0.471516491193449,2.45044288510049e-06,0.00010353984021551367,3.9848925095644607,True
Cdh1,0.1826239121961081,-0.40722754311974363,0.5898514553158517,,-0.1718588481361625,5.443264655705451e-07,3.549955210242685e-05,4.449777126400444,True
Xcl1,0.5841530581179731,-0.004244210993564181,0.5883972691115373,,0.36732009350716494,7.260775800023022e-06,0.00022226864693948028,3.6531217942577956,True
Anp32e,1.2788780635457742,0.6972073724540142,0.58167069109176,0.9138350095748605,0.9913487570935963,0.006264141710700203,0.034865352749722835,1.4576059364684382,True
I830077J02Rik,0.4271808159367222,-0.1530672396597372,0.5802480555964594,,0.18530430868916015,0.0006159879180131965,0.005904037552842139,2.2288508888306358,True
Rftn1,0.40813315736155126,-0.17208342664094292,0.5802165840024942,,0.16095227470443113,0.007464192262886602,0.04013006592949786,1.3965301267651995,True
Smim14,0.3848893342370483,-0.19424908335886137,0.5791384175959097,,0.13135258296451194,0.0015717183427676963,0.012343337770426935,1.908567386553159,True
Cytip,0.13670205246063688,-0.4255345884967985,0.5622366409574353,,-0.22501904344113197,0.0005450868379220508,0.005396899385366839,2.2678556784304864,True
Smad7,0.5546198989658613,-0.001705561424245542,0.5563254603901068,10.976047805031614,0.35214512925411606,0.0030375893238473593,0.020028061475916653,1.6983610842088985,True
Clspn,1.0862223917762526,0.5317960133023987,0.5544263784738539,1.075159182272316,0.8551997470548308,0.006813355420928991,0.03736758000509502,1.427505026968794,True
Mef2b,0.5107157593807072,-0.040019562584886,0.5507353219655933,,0.3049176240532057,2.8440774508088823e-06,0.00011226621516350851,3.94975091849886,True
Dpp4,0.608661359895417,0.06302064682448427,0.5456407130709328,3.3150699145708775,0.4177483032351587,1.8625654725374036e-05,0.0003991211726865865,3.398895233035187,True
Snn,0.535886575626916,-0.006562038513265707,0.5424486141401818,,0.33875216078340575,0.002391842204821627,0.01657165499876416,1.7806341167503204,True
Rnd3,0.04482981756010452,-0.49018552896818973,0.5350153465282943,,-0.36341547867277263,0.0009440646613741043,0.00816194231735537,2.0882064788279755,True
Cttnbp2nl,0.22636060521982265,-0.30570931713287725,0.5320699223526999,,-0.058404391779875796,0.0012211401209595788,0.010233017773404292,1.9899962715599622,True
Alcam,0.09123763223628255,-0.43845220285231573,0.5296898350885982,,-0.2751005591307547,0.002339862682157391,0.016477906212375996,1.7830979733537669,True
