,Mono,others,delta,log2fc,A,p-val,p-adj,p-adj-log,is_significant
Filip1l,-0.4126939571561946,-0.4702222711569145,0.05752831400071989,-0.1858769859155852,-0.8402626203869076,0.0016521177363286617,0.016688057942713753,1.7775942009982513,True
Hpgd,-0.009541030409201524,-0.06598987056488846,0.056448840155686936,-2.917738612143553,-0.055539493849944076,2.7943813421525378e-05,0.0010380172226052092,2.983795440687604,True
Lox,-0.09720769571323963,-0.15298136429937037,0.05577366858613074,-0.6512407990821456,-0.19280094690078547,0.000262741277933003,0.004748336348186801,2.3234585253981908,True
Ccl24,-0.023351135600852047,-0.07790133675524623,0.054550201154394184,-1.7684942905146783,-0.07495191380230795,0.004584386803121261,0.035909035011393683,1.4447962655745088,True
Arhgap24,-0.3493314692389936,-0.4033830745845798,0.05405160534558617,-0.20482118487477455,-0.6812083190498569,7.372213826687366e-07,8.191348696319297e-05,4.086644586255872,True
Cacna1b,-0.14243879216053396,-0.1949146669716062,0.05247587481107224,-0.44852938143660787,-0.2665184988048946,0.005541503337326979,0.04104817286908873,1.3867061693735925,True
Hist1h4m,0.03194333897856359,-0.020285583156783953,0.05222892213534755,,0.008384879707259419,0.0056660448607603305,0.04186732655734234,1.3781247701444268,True
Pld4,-0.6171192663565684,-0.6673445459931348,0.05022527963656631,-0.1110628330892062,-1.4829033629830495,0.00041482016891260584,0.006222302533689088,2.2060488769435493,True
Pde6h,0.05084481146297841,0.0008101467290800768,0.05003466473389833,4.207511129626382,0.03678812277665808,3.434587283494217e-05,0.0012114923500927452,2.9166793238483875,True
Zfp503,-0.09028162113940459,-0.13623838275918984,0.04595676161978525,-0.5895415710700308,-0.1734169424576905,0.004871114859643043,0.03756643850624454,1.425199976360687,True
Cldn11,0.037791620867039105,-0.0074475772164057695,0.04523919808344488,,0.021724214116242865,0.0004835281967900816,0.006907545668429737,2.1606762351148214,True
Plxnb2,-0.21876858170431177,-0.2636837370487319,0.044915155344420116,-0.26551188427093403,-0.3982581534249172,0.0012295437844761703,0.01324182510800188,1.8780521523806413,True
Angptl2,-0.18997756040541794,-0.23416743089601827,0.04418987049060033,-0.2975077753493286,-0.34386519861579734,0.006745947274620651,0.04651092915197191,1.3324449844716357,True
Gm12709,0.08046064712815804,0.04138201801760257,0.039078629110555464,0.9102977020415652,0.08531768423133575,7.030326943460379e-05,0.0019844861695764967,2.7023519234625573,True
Rhox5,-0.003271765045475064,-0.04127175914741552,0.03799999410194046,-4.158701524878255,-0.0324945748143603,0.0001947078844961438,0.0038429187729502067,2.4153387950392475,True
BC018473,0.16469454304314757,0.12831050045528972,0.03638404258785785,0.3472078801325932,0.19723952815123244,1.299953284742661e-06,0.0001299953284742661,3.8860722542647155,True
Synm,0.046506410814891354,0.010974937957402474,0.03553147285748888,1.8746085954425662,0.04087935256394617,0.0026936325464202897,0.024552322392562293,1.6099074218884055,True
Gm28989,0.03110396504578453,-0.0021283581646315912,0.03323232321041612,,0.020751520568629795,0.0012044052918240903,0.013151318969170787,1.8810306888238741,True
Olfr433,-0.038331707272769064,-0.06977112274361426,0.031439415470845195,-0.8630915572453256,-0.08016632378902634,7.395534504226615e-06,0.00040220686812467285,3.395550517619985,True
Timp1,-0.34808423203090044,-0.3777779260056485,0.02969369397474808,-0.11489780108993276,-0.6504786367231237,3.050904285656919e-05,0.0011027364887916575,2.9575282546823365,True
A130077B15Rik,-0.017843542676609796,-0.04632905396178486,0.028485511285175066,-1.402319877311504,-0.047049671051984765,4.071155294159295e-06,0.00025444720588495593,3.594402313803884,True
Unc79,0.014244386421786347,-0.013130077014116484,0.02737446343590283,,0.0008035804896874264,0.00759749966590334,0.049894089067016645,1.3019509020245534,True
X4921507P07Rik,0.0465432527870018,0.021303152482745887,0.02524010030425591,1.0309277824245018,0.048129029663949635,0.0024267176678249703,0.022821796249137653,1.6416501762899403,True
Gm10800,0.015767670372031216,-0.007441583275979963,0.02320925364801118,,0.005993535245782394,7.743595376042824e-05,0.002084662638765344,2.6809642169382717,True
Cd38,-0.27031240558479175,-0.2935108787424505,0.023198473157658772,-0.11465993996780796,-0.4777667221907006,0.003089019176634806,0.02701766043703912,1.5683522609126168,True
Gjb5,0.05605167045752862,0.035807115448842096,0.02024455500868652,0.5954551810902831,0.06478546355954812,0.0005155186830424492,0.007226897425828727,2.141048109349063,True
Ms4a6b,-0.3409423566034428,-0.3597997623777692,0.018857405774326375,-0.07417197423522946,-0.6223121898899022,0.000272788468662847,0.004842398852003202,2.314939442054519,True
Gsto2,0.032157008973136385,0.015616984786021646,0.01654002418711474,0.9155179829696878,0.03405649850431785,0.003009353903581909,0.026553122678663905,1.5758843980338781,True
Pak3,0.01371271086509514,-0.001370523846865633,0.015083234711960774,4.553904303225243,0.008875647856611272,0.00018530384075827834,0.0037309498139250674,2.4281805927393907,True
Vmn1r4,0.00855032078596342,-0.0058036220932985196,0.014353942879261939,,0.0019799650105209216,0.000727166629167563,0.009282978244692293,2.032312667344938,True
Hck,-0.4614003690781121,-0.475597546789109,0.014197177710996878,-0.04100126531120677,-0.9118555745655287,0.007399689668594864,0.049331264457299094,1.306877752573746,True
Gm45805,0.026415875930643762,0.015811675723454707,0.010604200207189055,0.6260226347816875,0.03014362495851299,0.0022216994984830475,0.021226428329455867,1.6731230763617486,True
Ipcef1,-0.29244941489098136,-0.3026209253058253,0.010171510414843932,-0.04506113816381815,-0.5095020987306218,0.004282189127906398,0.034166402616274454,1.466400745700711,True
Asb5,0.016671285757986494,0.008548393787449917,0.008122891970536577,0.7503280284529703,0.018078408442261436,0.0012157724345498034,0.013167210482488844,1.8805062220298947,True
Cd28,-0.409225456719656,-0.41709169658259276,0.007866239862936775,-0.024321795199343875,-0.7689573848324881,0.0038924146326023883,0.03199244903508812,1.4949525132227353,True
Olfr482,0.05672403074440399,0.04907774080543476,0.007646289938969229,0.17829969835291,0.07436963547947915,0.0005538610230383437,0.007728293344721074,2.111916401657808,True
Lingo3,0.08266391043723319,0.07561884270772286,0.007045067729510329,0.10945610100376181,0.1098838823597372,0.00717187897092405,0.04824133836944428,1.316580651978985,True
P2ry6,-0.3094670405817114,-0.31636613992766177,0.006899099345950399,-0.027670767152783018,-0.5414428466132781,0.005824075474238514,0.04277195741504095,1.3688408742440323,True
Gm3839,-0.04654920184155057,-0.050547188719020586,0.003997986877470015,-0.09427476295999951,-0.07179751547988072,7.941199875001836e-05,0.002089789440789957,2.6798974695395157,True
Gpm6b,-0.06917928056263745,-0.07292561481651351,0.003746334253876063,-0.058518087781706474,-0.10633094947172717,7.078000671489505e-05,0.0019844861695764967,2.7023519234625573,True
Evl,-0.3107275746721046,-0.3135731354937421,0.002845560821637505,-0.0089109067050322,-0.539834850073885,0.007600532901208868,0.049894089067016645,1.3019509020245534,True
Slc9b1,-0.007007098810016856,-0.008176610107223314,0.001169511297206458,-0.057776924271625354,-0.010994518177850257,0.006015507573100853,0.04338106422909269,1.3626997980306048,True
Podxl2,0.03410492147856165,0.034919928070461896,-0.0008150065919002442,-0.06973108407653476,0.04895097246029948,0.00501317375467323,0.03817137376654744,1.4182622097523723,True
Olfr655,-0.010991440587710651,-0.0069944633471439276,-0.003996977240566723,0.9897892618745938,-0.013032777005888885,0.005971398198007906,0.043290485024647544,1.3636075483437389,True
Pld2,-0.22471394223325095,-0.22047842097036252,-0.004235521262888425,0.033693785235975895,-0.36326390106334105,0.002584258534849667,0.02385469416784308,1.6224261469973025,True
Dnmt3bos,-0.0021784225490968,0.0024833369445244457,-0.004661759493621246,,0.0002199324783708779,0.00044322701998250483,0.006518044411507423,2.1858826847412494,True
Rasl11b,0.00464610270622272,0.009760032638596546,-0.005113929932373825,-1.0400410886996077,0.010354582241283286,0.00011764105940854012,0.002735838590896282,2.5629095287175967,True
Krt8,-0.0017560887304656002,0.0044724938294706815,-0.006228582559936281,,0.001958142606363378,1.670672527520897e-05,0.0007593966034185896,3.119531349676947,True
Slc18a1,-0.05430233442802188,-0.04798860286533202,-0.006313731562689863,0.21094620475569997,-0.07574116989773602,0.0029832182118705486,0.026400161166996006,1.5783934218527682,True
Chst2,0.007079907616302984,0.015077161449418525,-0.007997253833115541,-1.0666884540789299,0.015895061514613125,0.0002941247659190458,0.005135401796476157,2.289425571313858,True
