,Lym,others,delta,log2fc,A,p-val,p-adj,p-adj-log,is_significant,tf_name
Hlf_99,0.010000119755699937,0.01476167879237864,-0.004761559036678704,0.06843005413587712,0.01775219329752913,0.49609623579874684,0.8476951303219635,0.071760311688007,False,Hlf
Osr2_161,0.02596765155610055,0.03104472474835781,-0.00507707319225726,0.021609343768191524,0.040550474066712944,0.7506268544063677,0.9364255807445775,0.028526731002251112,False,Osr2
Tbr1_769,0.02504386589437054,0.030407305204309544,-0.005363439309939003,0.009421069207445447,0.039455099923975986,0.9274052332775913,0.9796064859291443,0.008948348094166681,False,Tbr1
Smad4_860,0.08458638135859936,0.09079258140722757,-0.006206200048628208,-0.00983526941171919,0.1212667481239935,0.7083398124863137,0.9138997394665197,0.039101446481490026,False,Smad4
Foxa1_306,0.057198805589563154,0.06354525145056998,-0.0063464458610068275,-0.01706388445454794,0.08457051906768372,0.970073695961081,0.9915922652070965,0.0036668695514308126,False,Foxa1
Tbx21_762,-0.15134447715029117,-0.1439079904271799,-0.007436486723111285,0.018793990428028477,-0.2304419033849144,0.97434728609791,0.9934963079056145,0.002833742504037932,False,Tbx21
Egr2_188,-0.14985135356181356,-0.14086495497385293,-0.008986398587960631,0.03500566721041524,-0.22660813762460388,0.5479800829568399,0.8584696859110706,0.06627503594160544,False,Egr2
Mbd1_248,0.04847324492418743,0.058161742997258785,-0.009688498073071358,-0.1021576674521288,0.07494036316590891,0.9491478248811922,0.9915922652070965,0.0036668695514308126,False,Mbd1
Tgif2_566,0.06228626896066816,0.07232097536319117,-0.010034706402523005,-0.08926094268471932,0.09397064652440482,0.8465872646944144,0.9543577450158396,0.02028879766200524,False,Tgif2
Ahr_28,-0.024894917459154692,-0.014445805464946877,-0.010449111994207816,0.4767093482451816,-0.028661153904907033,0.842811831815989,0.9543577450158396,0.02028879766200524,False,Ahr
Ahrr_36,-0.024894917459154692,-0.014445805464946877,-0.010449111994207816,0.4767093482451816,-0.028661153904907033,0.842811831815989,0.9543577450158396,0.02028879766200524,False,Ahrr
Creb3l2_118,0.021752171333189574,0.03341110736676276,-0.011658936033573188,-0.27192676611679234,0.039253017757571944,0.9504281403603034,0.9915922652070965,0.0036668695514308126,False,Creb3l2
Ebf1_90,-0.1256065132597969,-0.11344020016223506,-0.012166313097561846,0.08289308229584987,-0.18364336119781927,0.7841877812469669,0.9455759344971589,0.024303589390152546,False,Ebf1
Hmbox1_438,0.23612715167855447,0.2489146292595088,-0.012787477580954332,-0.04207311406847482,0.3132701079829039,0.9679372154221951,0.9915922652070965,0.0036668695514308126,False,Hmbox1
Gm5889_580,0.2952023127061,0.30974285254624956,-0.01454053984014958,-0.04209576610852922,0.3812530037317533,0.7299846907543754,0.9224161851652709,0.035073085303234636,False,Gm5889
Obox3_569,0.2952023127061,0.30974285254624956,-0.01454053984014958,-0.04209576610852922,0.3812530037317533,0.7299846907543754,0.9224161851652709,0.035073085303234636,False,Obox3
Klf11_798,0.17406133064501444,0.1886787536702213,-0.014617423025206855,-0.07008528611893874,0.24046093286923587,0.8223222009757946,0.9543577450158396,0.02028879766200524,False,Klf11
Klf13_817,0.17406133064501444,0.1886787536702213,-0.014617423025206855,-0.07008528611893874,0.24046093286923587,0.8223222009757946,0.9543577450158396,0.02028879766200524,False,Klf13
Klf16_874,0.17406133064501444,0.1886787536702213,-0.014617423025206855,-0.07008528611893874,0.24046093286923587,0.8223222009757946,0.9543577450158396,0.02028879766200524,False,Klf16
Klf14_237,0.17406133064501444,0.1886787536702213,-0.014617423025206855,-0.07008528611893874,0.24046093286923587,0.8223222009757946,0.9543577450158396,0.02028879766200524,False,Klf14
Klf8_194,-0.13933712962366293,-0.12320716171076733,-0.0161299679128956,0.12045253804666532,-0.2030237989713296,0.8015386890616747,0.9502111878392433,0.022179860479385756,False,Klf8
Foxj3_303,-0.0008794797284500523,0.015317585518358077,-0.01619706524680813,-1.3708065025246985,0.010377478933150922,0.7689905349012539,0.9383219396540803,0.027648128969672354,False,Foxj3
Foxl2_832,-0.0008794797284500523,0.015317585518358077,-0.01619706524680813,-1.3708065025246985,0.010377478933150922,0.7689905349012539,0.9383219396540803,0.027648128969672354,False,Foxl2
Foxn2_830,-0.0008794797284500523,0.015317585518358077,-0.01619706524680813,-1.3708065025246985,0.010377478933150922,0.7689905349012539,0.9383219396540803,0.027648128969672354,False,Foxn2
ENSMUSG00000090020_834,-0.0008794797284500523,0.015317585518358077,-0.01619706524680813,-1.3708065025246985,0.010377478933150922,0.7689905349012539,0.9383219396540803,0.027648128969672354,False,ENSMUSG00000090020
Gm5294_342,-0.0818158812633626,-0.06469994086908008,-0.01711594039428252,0.2437350316122404,-0.10976020025131523,0.8306715249690815,0.9543577450158396,0.02028879766200524,False,Gm5294
Hoxd11_532,-0.11486010940294697,-0.09727818117173434,-0.01758192823121263,0.17122188626355236,-0.16176485119809753,0.769400135495575,0.9383219396540803,0.027648128969672354,False,Hoxd11
Pou6f2_617,-0.0029729475653705907,0.014740867240385236,-0.017713814805755825,-1.8627874679356315,0.00846388345063896,0.8794462295058362,0.966371618288774,0.01485583348450617,False,Pou6f2
Sox18_740,-0.028492382409094567,-0.010254424347692963,-0.018237958061401605,1.341410560776694,-0.028224203859579806,0.9436013504505399,0.9909454299791022,0.003950260864361224,False,Sox18
Sox7_746,-0.028492382409094567,-0.010254424347692963,-0.018237958061401605,1.341410560776694,-0.028224203859579806,0.9436013504505399,0.9909454299791022,0.003950260864361224,False,Sox7
Zic5_195,0.28601433874946375,0.3052897124118755,-0.019275373662411777,-0.06579616595294296,0.37367830435124183,0.7384617066856294,0.9291344155445437,0.03192145316833445,False,Zic5
E2f3_258,0.20060910933694323,0.22014172899122733,-0.0195326196542841,-0.0936152243959432,0.27545459407990486,0.9987171438049511,0.9987171438049511,0.0005574950360713,False,E2f3
Hes1_39,0.039374575322608255,0.05977088505529158,-0.020396309732683325,-0.3957916145685957,0.06980214171092453,0.6665436797401973,0.9138997394665197,0.039101446481490026,False,Hes1
Nr1d2_845,-0.31368516409576364,-0.29315048869793886,-0.020534675397824775,0.07228233817060699,-0.5216345418355515,0.8398778750989513,0.9543577450158396,0.02028879766200524,False,Nr1d2
Nr1d1_844,-0.31368516409576364,-0.29315048869793886,-0.020534675397824775,0.07228233817060699,-0.5216345418355515,0.8398778750989513,0.9543577450158396,0.02028879766200524,False,Nr1d1
Sp100_714,0.12368044832620716,0.1447193847837515,-0.02103893645754433,-0.16067385841693355,0.1816749552733678,0.7522536446288202,0.9371295403426827,0.02820037200711292,False,Sp100
Arid2_11,0.16632421350878943,0.18834441565151291,-0.02202020214272349,-0.13035455179342334,0.23552404467688304,0.5180561813465957,0.8500952161785221,0.07053242776218341,False,Arid2
Nfil3_137,0.09018790841901547,0.11227738569741713,-0.02208947727840166,-0.22516964725542854,0.13911928570614052,0.7396753365768391,0.9293356792888492,0.0318273889871095,False,Nfil3
Pou3f1_620,0.09604749736767228,0.11864283239098421,-0.02259533502331193,-0.21939439860544585,0.1471049872885337,0.9116641223168369,0.9771995070555616,0.010016760776684681,False,Pou3f1
Hoxc5_441,0.2935373468675791,0.31679579712111916,-0.023258450253540064,-0.08232711400563042,0.3842339426224307,0.6035329603189952,0.8976662242855881,0.04688511533382078,False,Hoxc5
Prop1_539,0.2935373468675791,0.31679579712111916,-0.023258450253540064,-0.08232711400563042,0.3842339426224307,0.6035329603189952,0.8976662242855881,0.04688511533382078,False,Prop1
Hlx_518,0.2935373468675791,0.31679579712111916,-0.023258450253540064,-0.08232711400563042,0.3842339426224307,0.6035329603189952,0.8976662242855881,0.04688511533382078,False,Hlx
Lmx1b_515,0.2935373468675791,0.31679579712111916,-0.023258450253540064,-0.08232711400563042,0.3842339426224307,0.6035329603189952,0.8976662242855881,0.04688511533382078,False,Lmx1b
Alx3_419,0.2935373468675791,0.31679579712111916,-0.023258450253540064,-0.08232711400563042,0.3842339426224307,0.6035329603189952,0.8976662242855881,0.04688511533382078,False,Alx3
Sp3_802,0.207217333572464,0.23067974717641693,-0.02346241360395293,-0.11539805211686982,0.28563722184519375,0.9957238313117056,0.9987171438049511,0.0005574950360713,False,Sp3
