,Baso/Eos/Mast,Ery/Meg,Neutro,Progenitors,Lym_pDC_Ccr7DC,Mono
Bhlhe40-55,0.10701791265232828,-0.27496718991670793,-0.11145458640142526,-0.32083932453624164,-0.11477241573807773,0.0790920011822487
Bcl6-162,-0.8505136200807553,0.23774294840540378,-0.1634096514401979,0.20708381228757042,0.14328789420038285,0.07916171245960046
Hic2-211,-0.5497968246134322,0.3364766596982159,-0.017140734524587906,0.20030305321715391,0.2585085697959938,0.02601001271422238
Nfatc1-703,-0.7702489683357243,0.15807103092599167,0.0014821099411333552,0.02197341186273633,-0.06586670585856322,-0.13612649697338766
Neurog2-49,-0.9249846277229559,-0.09546113261639218,0.015185958659085862,-0.059692023223571936,0.1679886970506348,0.017445969734980183
E2f6-264,-0.7340161015234803,0.06243184088385642,-0.06105947737618131,-0.06612222269180856,0.29029309693648947,0.11998474472738244
Zfp281-193,-0.17560081280174372,-0.2028716012495858,0.13277844702147035,0.23535505285269967,0.2488463300630129,0.1990370251664785
Dlx6-477,-0.32715524158947373,-0.0015009343746171214,0.24814634574565053,-0.15856123907803898,0.504429066923557,0.14321228621794524
Npas2-44,-0.14284527903296002,0.04280461465331518,0.32919589026788054,0.006909748223953138,0.1541886368513489,0.2598275835033718
Max-91,-0.14906977409184793,0.14300235357509505,0.35756405361265664,0.07026082350484725,-0.04378062243638249,0.18463862065898906
Hnf4a-665,-0.37039288264325476,0.2155143932888185,0.23155699261081034,0.025334118958863557,0.2481157592656747,0.1915671704634122
Ubp1-836,-0.5753788438120788,0.32823816589311006,0.197507592255858,0.021243376316177173,0.08580425896820502,0.16001020841357957
Gfi1b-172,-0.14687146698814676,-0.13463794007248533,-0.4238691814614202,0.07512513122438205,0.46026828879590725,0.18086618725551726
NP-595,-0.2261191089972044,-0.10082241572505682,-0.2962766855064197,0.3134498614948979,0.33269148816648225,0.0490792757291614
Nkx22-462,-0.007273401678998426,0.3456181886630091,-0.06021533944302392,0.1774932824123117,0.1838846583988757,0.025610267879564514
Tbx18-866,-0.15747019077485575,0.10751715292194154,-0.09156190541312599,-0.06567181121928609,0.16664986082636835,0.05403938919249736
Hoxb3-546,-0.11669199242361215,0.1204827220278244,-0.05388708697569467,0.15196373045239314,-0.0034973824759728656,-0.021211873015260157
T-771,-0.13460211716207499,0.1739827406797809,-0.12441776620987817,0.07781392037053085,0.1016904472199603,-0.0015804079252535175
En1-563,-0.39004767821413366,0.02057332095586835,-0.20123583499934433,0.027322896971315756,0.12809959940403207,0.0529080118103509
NP-596,-0.2880826137304805,0.11485543345837655,-0.3059947333722723,0.32817419449636787,-0.007770920268973788,0.10793333516374079
NP-599,0.16177983732050438,0.4058219464685066,-0.2157365701648798,0.4154221761451295,0.05045523666867301,0.1080166721797167
Foxo1-314,-0.24331954784401477,0.39372952764884345,-0.06009011749446882,0.4923469605574821,0.3276638435537407,0.08814438639653457
Foxq1-309,-0.05695641269010776,0.17423598612608238,0.25046906447436346,0.5563845813173663,0.4605375850432673,0.13754726504391118
