,pDC/Ccr7DC,others,delta,log2fc,A,p-val,p-adj,p-adj-log,is_significant,tf_name
Elf1_285,0.4635236237801215,0.015718814038692366,0.44780480974142917,4.72592623087761,0.3098993552234174,0.0002685633163255196,0.016113811689252022,1.7928017159555045,True,Elf1
Mef2c_638,0.7943177989597063,0.34815808689150163,0.4461597120682047,1.1914419147799455,0.651901674002551,0.0010010343437882121,0.0490506828456224,1.3093549423304838,True,Mef2c
Prdm1_189,0.3041835631681766,-0.11113324616353573,0.41531680933171233,,0.13293891336138808,7.025729874484688e-05,0.005633357953904995,2.249232652019294,True,Prdm1
Rela_698,-0.8888085578774069,-1.3025480918995185,0.4137395340221116,-0.5579284030990497,,0.00023100631895754296,0.015672890255427147,1.8048509074090275,True,Rela
Elf3_266,0.21884567598515625,-0.19362307894435293,0.4124687549295092,,0.018080486761521644,0.00027404441648387796,0.016113811689252022,1.7928017159555045,True,Elf3
Zkscan5_217,-0.17142916314873216,-0.5436907848285308,0.3722616216797987,-1.705827332538642,-0.6383663148446912,0.00039380983213732813,0.02153337982752988,1.6668877990085782,True,Zkscan5
Mef2a_640,0.6337407902937344,0.32789042756682374,0.3058503627269107,0.954093449944152,0.5663920075115781,0.030208694914715742,0.5092629668771451,0.29305790416089206,False,Mef2a
Zeb1_139,0.6776973328440802,0.3840955838277075,0.2936017490163727,0.8230831444822958,0.6143767099462456,0.029749431811169343,0.5092629668771451,0.29305790416089206,False,Zeb1
Irf9_629,0.3035495758248013,0.011287548924148494,0.2922620269006528,4.539114014133935,0.2109106869699521,0.004667656479155578,0.16534516554760795,0.78160849870426,False,Irf9
Mef2d_842,0.7026918151060216,0.4179620916691553,0.2847297234368663,0.7536291345944506,0.6418483653744887,0.01356641002899358,0.3418735327306382,0.4661345202445554,False,Mef2d
