,Ery/Meg,others,delta,log2fc,A,p-val,p-adj,p-adj-log,is_significant,tf_name
Mypop_649,0.0679333950719667,0.1307929002005672,-0.06285950512860049,-0.5586887257019642,0.13666802391571925,0.6704888487421465,0.8950194786768625,0.04816751285188479,False,Mypop
Foxl1_360,0.2957923701895746,0.35927455439671957,-0.06348218420714496,-0.1840026786912783,0.4087482265856966,0.6849553010019269,0.8982416462147698,0.04660681310989674,False,Foxl1
Gm5294_336,0.2957923701895746,0.35927455439671957,-0.06348218420714496,-0.1840026786912783,0.4087482265856966,0.6849553010019269,0.8982416462147698,0.04660681310989674,False,Gm5294
Srf_639,-0.08043506541306408,-0.015537390581931865,-0.06489767483113222,2.1043878053322294,-0.07094565091716949,0.8934665719985134,0.9630725267987247,0.016341005915522,False,Srf
Barhl2_492,0.1846119785258906,0.25022888127190285,-0.06561690274601226,-0.2862587198219909,0.28382748143150005,0.6511521610239408,0.8831709415830882,0.05395522869744861,False,Barhl2
Dlx4_427,0.0143389720388337,0.0800243394955363,-0.0656853674567026,-1.165738875037033,0.06651172989243552,0.7142328316402887,0.9086511489918612,0.04160281991002278,False,Dlx4
Sp2_150,0.15808433681691103,0.22477016748382564,-0.06668583066691461,-0.3307789816387101,0.25269086410391467,0.6878627206008759,0.8982416462147698,0.04660681310989674,False,Sp2
Gm239_651,-0.23478926697186214,-0.16771722836994163,-0.06707203860192051,0.3591943500572727,-0.32418993475352675,0.5980023235689726,0.8617221384080767,0.06463274949963854,False,Gm239
Mixl1_881,0.09186507504886122,0.16186701945849927,-0.07000194440963804,-0.5223873532422265,0.17231602975276883,0.7627011482736983,0.9249547297348246,0.03387952251229639,False,Mixl1
Zic2_225,0.0727752272848677,0.14282220722570943,-0.07004697994084173,-0.6083221585405402,0.14769577308624426,0.5495494560556721,0.832391573023402,0.07967232515426106,False,Zic2
Glis1_185,0.02775610781043916,0.09830134651386953,-0.07054523870343037,-1.0049663724267373,0.0881805846153749,0.5190004006173614,0.816528397373287,0.0880287066920895,False,Glis1
Tbx5_764,0.09864797082887902,0.17136344042980864,-0.07271546960092962,-0.5203411738188863,0.18269954990603157,0.8506592310341445,0.9507773610316496,0.021921167810584643,False,Tbx5
Pknox1_414,0.06140886035133884,0.13434772757374924,-0.0729388672224104,-0.7051795125577381,0.13471813227698745,0.7194014162127826,0.9086755669241825,0.041591149390710645,False,Pknox1
NP_604,0.15003221635902111,0.2255180659719611,-0.07548584961294,-0.4014399482463248,0.2482617440258826,0.5318920576937306,0.820722571218049,0.08580362260130088,False,NP
Pax7_467,-0.11454500208976154,-0.03881734610130547,-0.07572765598845607,1.3263010277458724,-0.11509919227352504,0.6090275041583654,0.8663907397865778,0.06228619821224059,False,Pax7
Klf6_794,-0.2661435995321029,-0.19039849375899892,-0.075745105773104,0.37262877101921243,-0.3738338617896937,0.7010027454308446,0.9039245927924049,0.04386779773271997,False,Klf6
Klf2_819,-0.2661435995321029,-0.19039849375899892,-0.075745105773104,0.37262877101921243,-0.3738338617896937,0.7010027454308446,0.9039245927924049,0.04386779773271997,False,Klf2
Klf3_804,-0.2661435995321029,-0.19039849375899892,-0.075745105773104,0.37262877101921243,-0.3738338617896937,0.7010027454308446,0.9039245927924049,0.04386779773271997,False,Klf3
Tcfap2c_3,-0.01182785676910408,0.0644910483781135,-0.07631890514721758,-2.6773584367329835,0.0374969242520128,0.6426318703344662,0.8760453008268921,0.05747343562362978,False,Tcfap2c
Rfx3_710,0.2773852673314213,0.3539882889158221,-0.0766030215844008,-0.2487560925040618,0.3958160715710117,0.6229346402877862,0.8666062345959423,0.062178190860292915,False,Rfx3
Six1_553,0.01579862925692556,0.09282233862591914,-0.07702370936899358,-1.3184361334480854,0.0762997888727472,0.5904754952331372,0.8608254327200446,0.06508491044300972,False,Six1
Gli3_155,-0.001763225963453325,0.07565699160754025,-0.07742021757099357,-1.9243804524671952,0.052341994583241805,0.5222081215226109,0.8166446155725935,0.08796689704627651,False,Gli3
Klf13_817,0.11741444567398235,0.19495879651137857,-0.07754435083739622,-0.49621601572209234,0.20937428330126484,0.8685144736373,0.9515897711156506,0.021550234953292672,False,Klf13
Klf16_874,0.11741444567398235,0.19495879651137857,-0.07754435083739622,-0.49621601572209234,0.20937428330126484,0.8685144736373,0.9515897711156506,0.021550234953292672,False,Klf16
Klf14_237,0.11741444567398235,0.19495879651137857,-0.07754435083739622,-0.49621601572209234,0.20937428330126484,0.8685144736373,0.9515897711156506,0.021550234953292672,False,Klf14
Klf11_798,0.11741444567398235,0.19495879651137857,-0.07754435083739622,-0.49621601572209234,0.20937428330126484,0.8685144736373,0.9515897711156506,0.021550234953292672,False,Klf11
Arnt2_26,-0.7089344329039542,-0.631353277707791,-0.07758115519616315,0.12583553794873414,-1.6000911146142978,0.5581530403586289,0.8386558459903078,0.07641622135304815,False,Arnt2
Srebf2_38,-0.22374197330634726,-0.14565500769302306,-0.0780869656133242,0.4883129602929098,-0.29459440877177745,0.5031157854058109,0.8137349335871406,0.0895170393706533,False,Srebf2
Pou6f2_617,-0.029740531551705918,0.04959540027490642,-0.07933593182661233,,0.014251635702137918,0.7186622544707789,0.9086755669241825,0.041591149390710645,False,Pou6f2
Bsx_559,0.07501503946953583,0.15771690214106102,-0.08270186267152518,-0.7159358237610028,0.15881005379225888,0.582992573996931,0.8598653014469785,0.06556957598899286,False,Bsx
Usf1_46,-0.2980419456604996,-0.21474857789589066,-0.08329336776460891,0.3745761370713408,-0.4273921318014016,0.5081707613975129,0.8137349335871406,0.0895170393706533,False,Usf1
Sp100_714,0.030313192171636555,0.11658846251472897,-0.08627527034309242,-1.1746014727420067,0.10225610570721277,0.5980023235689726,0.8617221384080767,0.06463274949963854,False,Sp100
Ovol2_809,0.09167356859897695,0.17819508339786483,-0.08652151479888788,-0.6618452167089611,0.1826088170777169,0.6222360233460165,0.8666062345959423,0.062178190860292915,False,Ovol2
Rorb_684,-0.5091603355879017,-0.42140601579684184,-0.08775431979105991,0.2153908718595496,-0.9031530245407215,0.572860473390012,0.8511768130642154,0.06998021551827077,False,Rorb
Irx5_484,-0.13768188103726436,-0.04857479614497911,-0.08910708489228525,1.3097675075741466,-0.14102969688947797,0.9020695559370084,0.9630725267987247,0.016341005915522,False,Irx5
Kdm2b_249,0.024910746917526358,0.11681887880736062,-0.09190813188983427,-1.3339556083762116,0.09877636419361503,0.7142328316402887,0.9086511489918612,0.04160281991002278,False,Kdm2b
Tcfap2a_1,0.003645280225005977,0.09681957714406939,-0.09317429691906341,-1.9336561163969979,0.07070864846499927,0.6518642664065651,0.8831709415830882,0.05395522869744861,False,Tcfap2a
Zfp128_223,0.01561858629142641,0.11093204067703258,-0.09531345438560616,-1.5774400414881888,0.08851520173390835,0.6180514817986889,0.8666062345959423,0.062178190860292915,False,Zfp128
Hsfy2_628,-0.05251626301707798,0.04316715951747557,-0.09568342253455356,,-0.006759764400137195,0.4151408689001177,0.7528660613843287,0.1232822800750664,False,Hsfy2
Tbx19_766,-0.2743170403156639,-0.17836902686508954,-0.09594801345057435,0.5153692398180624,-0.37023406670803827,0.7379641247804463,0.9180315346351955,0.03714240040787241,False,Tbx19
Smad9_884,-0.2782169047230441,-0.18032310728274017,-0.09789379744030394,0.5216201820897579,-0.3757025584118734,0.6028146931947657,0.8617221384080767,0.06463274949963854,False,Smad9
Smad2_861,-0.2782169047230441,-0.18032310728274017,-0.09789379744030394,0.5216201820897579,-0.3757025584118734,0.6028146931947657,0.8617221384080767,0.06463274949963854,False,Smad2
Smad3_723,-0.2782169047230441,-0.18032310728274017,-0.09789379744030394,0.5216201820897579,-0.3757025584118734,0.6028146931947657,0.8617221384080767,0.06463274949963854,False,Smad3
Setbp1_12,-0.06019565042669057,0.038909561900988245,-0.09910521232767881,,-0.015436961810303539,0.3198545775925101,0.6830792674009538,0.16552889602956886,False,Setbp1
Elf4_283,0.1639024990940501,0.2633845714389171,-0.09948207234486697,-0.5118148110695537,0.27934474332327147,0.5222081215226109,0.8166446155725935,0.08796689704627651,False,Elf4
Zbtb49_176,-0.011066461639889946,0.08913779526517997,-0.10020425690506991,-3.030260592794609,0.055245178256129054,0.4993420602549584,0.8137349335871406,0.0895170393706533,False,Zbtb49
Nr2c1_660,-0.7756640895032859,-0.6734604093191885,-0.10220368018409742,0.16619386532926736,-1.8602017908436896,0.5762285441060309,0.8527408991636228,0.06918290688287577,False,Nr2c1
Gsc2_442,0.07630548793165783,0.17857037542337778,-0.10226488749171996,-0.8739597885460194,0.17304801163954392,0.5857085164772728,0.860556714274133,0.06522050257680381,False,Gsc2
Creb3_870,-0.9909177877940099,-0.8885163256410831,-0.10240146215292678,0.12789613809900652,-4.052106332305854,0.7201408404535188,0.9086755669241825,0.041591149390710645,False,Creb3
Creb3l3_116,-0.9909177877940099,-0.8885163256410831,-0.10240146215292678,0.12789613809900652,-4.052106332305854,0.7201408404535188,0.9086755669241825,0.041591149390710645,False,Creb3l3
Zfp42_875,0.23020650644518495,0.33358240311753284,-0.1033758966723479,-0.41079095600490145,0.3582774820565492,0.789204335373146,0.9319561660305422,0.03060451393222201,False,Zfp42
